,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
台湾,330.68,299.28,307.44,317.38,346.92,374.06,386.45,406.91,415.90,390.83,444.28,483.97,495.61,512.94,535.33,534.52,543.08,590.73,609.20,611.40,673.18,775.74,761.69,790.73,843.19,878.78,918.45,953.37,990.75
タイ,126.13,120.11,134.18,152.14,172.75,189.08,221.58,263.01,290.97,281.40,340.93,370.93,397.72,420.36,407.37,401.14,413.50,456.52,506.55,543.92,500.53,505.52,536.16,574.23,617.00,653.38,690.65,729.49,767.00
トルコ,274.32,202.25,240.19,314.75,409.13,506.19,555.13,680.49,770.82,648.80,776.56,838.51,880.14,957.50,938.51,864.07,869.28,858.93,779.69,759.45,720.11,817.51,905.53,1029.30,1087.05,1146.19,1209.77,1272.78,1334.70
アラブ首長国連邦,103.89,103.31,109.82,124.35,147.82,180.62,222.12,257.92,315.48,253.55,289.79,350.67,384.61,400.22,414.11,370.28,369.26,390.52,427.05,417.99,349.47,415.02,507.54,498.98,519.23,545.06,573.96,605.33,639.34
英国,1669.28,1649.08,1788.66,2058.49,2424.05,2547.67,2713.73,3094.01,2962.50,2426.29,2493.84,2667.32,2706.82,2788.13,3066.82,2935.51,2709.68,2685.64,2881.85,2858.73,2706.54,3123.23,3070.60,3158.94,3375.22,3573.61,3792.71,4015.52,4245.42
米国,10250.95,10581.93,10929.10,11456.45,12217.18,13039.20,13815.60,14474.25,14769.85,14478.05,15048.98,15599.73,16253.95,16843.23,17550.68,18206.03,18695.10,19477.35,20533.08,21380.95,21060.45,23315.08,25464.48,26854.60,27741.12,28765.96,29902.87,31091.59,32349.66
ウルグアイ,24.79,22.71,14.80,13.10,14.90,18.91,21.33,25.50,33.01,34.42,43.78,52.13,55.70,62.59,62.28,57.97,57.34,64.30,64.54,61.24,53.56,59.32,71.89,77.31,80.81,84.41,87.78,91.42,94.98
ウズベキスタン,17.20,14.58,12.11,12.70,15.05,17.94,21.34,27.96,35.86,41.95,49.77,60.21,67.52,73.19,80.85,85.66,85.66,62.08,52.87,60.28,60.23,69.60,80.42,92.33,103.53,116.28,131.77,148.98,168.66
ベトナム,39.59,41.30,44.56,50.23,62.88,73.20,84.30,98.43,124.76,129.02,143.21,171.31,195.17,212.73,232.89,236.80,252.15,277.07,304.47,331.82,346.31,369.74,406.45,449.09,498.37,550.47,605.30,662.90,725.53
ジンバブエ,11.34,11.24,10.74,9.57,9.47,9.05,8.14,7.79,6.71,9.67,12.04,14.10,17.12,19.09,19.50,19.97,20.56,21.39,36.95,26.03,26.88,35.97,33.02,29.93,26.67,27.98,28.44,26.70,27.78
