,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
デンマーク,2.75,2.27,2.40,1.96,0.94,1.73,1.84,1.66,3.64,1.04,2.20,2.66,2.35,0.52,0.35,0.23,0.02,1.06,0.71,0.73,0.33,1.94,8.53,4.80,2.80,2.20,2.00,2.00,2.00
エクアドル,96.10,37.67,12.49,7.93,2.74,2.17,3.30,2.28,8.40,5.16,3.55,4.48,5.10,2.72,3.59,3.97,1.73,0.42,-0.22,0.27,-0.34,0.13,3.47,2.47,1.54,1.54,1.54,1.54,1.54
エジプト,2.85,2.42,2.26,3.41,8.15,8.70,4.29,10.88,11.74,16.16,11.66,11.06,8.69,6.92,10.09,10.99,10.21,23.53,20.85,13.88,5.70,4.50,8.50,21.63,18.03,9.39,7.20,6.02,5.33
エストニア,3.93,5.63,3.59,1.39,3.04,4.12,4.44,6.75,10.61,0.20,2.74,5.08,4.22,3.25,0.48,0.07,0.80,3.65,3.41,2.27,-0.63,4.49,19.45,9.75,4.06,3.50,3.00,2.60,2.50
エチオピア,0.66,-8.24,1.65,17.76,3.22,11.66,13.56,17.25,44.37,8.48,8.13,33.23,24.13,8.07,7.40,9.57,6.63,10.69,13.83,15.81,20.35,26.79,33.94,31.43,23.48,14.83,12.36,12.36,12.36
フィンランド,2.95,2.67,2.01,1.29,0.15,0.77,1.28,1.58,3.92,1.63,1.69,3.32,3.16,2.22,1.21,-0.16,0.39,0.84,1.17,1.14,0.38,2.07,7.17,5.30,2.46,2.20,2.00,2.00,2.00
フランス,1.82,1.78,1.94,2.17,2.34,1.89,1.89,1.61,3.16,0.10,1.74,2.29,2.22,0.99,0.61,0.09,0.31,1.17,2.10,1.30,0.53,2.07,5.90,5.05,2.46,2.15,1.74,1.56,1.56
グルジア,3.99,4.72,5.61,4.76,5.66,8.25,9.16,9.25,10.00,1.73,7.11,8.54,-0.94,-0.51,3.07,4.00,2.14,6.04,2.62,4.85,5.20,9.57,11.90,5.86,3.21,3.00,3.00,3.00,3.01
ドイツ,1.41,1.90,1.33,1.07,1.78,1.93,1.78,2.27,2.75,0.25,1.12,2.48,2.16,1.61,0.77,0.68,0.37,1.70,1.94,1.35,0.37,3.21,8.67,6.19,3.08,2.25,2.13,1.99,1.96
ガーナ,25.11,32.93,14.85,26.63,12.67,15.10,11.68,10.73,16.51,13.14,6.70,7.68,7.07,11.67,15.49,17.15,17.46,12.37,9.84,7.14,9.89,9.98,31.89,45.44,22.22,11.50,8.00,8.00,8.00
ギリシャ,2.90,3.64,3.92,3.45,3.02,3.49,3.31,2.99,4.23,1.35,4.70,3.12,1.04,-0.85,-1.39,-1.09,0.01,1.14,0.77,0.52,-1.26,0.57,9.30,3.99,2.88,2.30,2.00,1.90,1.80
グアテマラ,5.98,7.28,8.14,5.60,7.58,9.11,6.56,6.82,11.36,1.86,3.86,6.22,3.78,4.34,3.42,2.39,4.45,4.43,3.75,3.70,3.21,4.26,6.89,7.40,5.54,4.40,3.98,3.97,3.97
香港,-3.72,-1.61,-3.05,-2.59,-0.37,0.91,2.00,2.04,4.30,0.58,2.29,5.31,4.05,4.34,4.42,2.99,2.41,1.49,2.41,2.88,0.25,1.57,1.88,2.30,2.40,2.40,2.50,2.50,2.50
ハンガリー,9.78,9.16,5.27,4.66,6.75,3.56,3.92,7.97,6.05,4.20,4.87,3.92,5.67,1.72,-0.22,-0.07,0.42,2.41,2.85,3.37,3.32,5.13,14.53,17.65,5.38,4.24,3.58,3.23,3.06
インド,3.83,4.31,3.98,3.86,3.82,4.40,6.70,6.20,9.09,12.31,10.53,9.50,10.00,9.40,5.80,4.90,4.50,3.60,3.43,4.76,6.18,5.51,6.67,4.95,4.43,4.09,4.09,4.00,4.00
インドネシア,3.69,11.47,11.90,6.79,6.06,10.47,13.10,6.32,9.87,4.80,5.14,5.34,3.98,6.41,6.40,6.36,3.53,3.81,3.29,2.82,2.03,1.56,4.21,4.38,3.03,2.73,2.64,2.46,2.46
アイルランド,5.30,4.00,4.69,4.00,2.31,2.20,2.67,2.89,3.12,-1.68,-1.64,1.21,1.89,0.54,0.30,-0.05,-0.18,0.26,0.71,0.88,-0.47,2.44,8.07,5.00,3.20,2.40,2.00,2.00,2.00
イスラエル,1.13,1.12,5.69,0.67,-0.41,1.33,2.11,0.52,4.59,3.32,2.69,3.45,1.71,1.53,0.48,-0.63,-0.55,0.24,0.81,0.84,-0.59,1.49,4.40,4.28,3.15,2.81,2.54,2.29,2.09
イタリア,2.58,2.32,2.61,2.81,2.26,2.21,2.23,2.03,3.49,0.77,1.62,2.94,3.32,1.25,0.23,0.11,-0.05,1.33,1.24,0.63,-0.15,1.94,8.74,4.45,2.57,2.14,2.00,2.00,2.00
ジャマイカ,8.07,6.88,6.99,10.13,13.52,15.10,8.52,9.29,22.03,9.58,12.62,7.52,6.89,9.36,8.28,3.68,2.35,4.38,3.74,3.91,5.21,5.88,9.50,7.00,5.00,5.00,5.04,5.02,5.00
日本,-0.69,-0.69,-0.90,-0.26,-0.01,-0.29,0.26,0.05,1.38,-1.33,-0.74,-0.28,-0.05,0.33,2.76,0.80,-0.12,0.49,0.99,0.47,-0.03,-0.24,2.50,2.73,2.19,1.58,1.51,1.51,1.51
カザフスタン,13.15,8.37,5.85,6.45,6.87,7.52,8.58,10.78,17.15,7.30,7.13,8.35,5.12,5.83,6.72,6.65,14.56,7.43,6.03,5.24,6.80,8.00,14.96,14.83,8.55,6.19,5.56,5.24,4.70
ケニア,9.98,5.73,1.97,9.81,11.80,9.91,6.03,4.27,15.11,10.54,4.08,14.02,9.38,5.72,6.88,6.58,6.32,7.99,4.69,5.24,5.29,6.11,7.65,7.79,5.58,5.25,4.61,4.94,5.00
韓国,2.26,4.07,2.76,3.52,3.59,2.75,2.24,2.54,4.67,2.76,2.94,4.03,2.19,1.30,1.28,0.71,0.97,1.94,1.48,0.38,0.54,2.50,5.09,3.54,2.30,2.00,2.00,2.00,2.00
クウェート,1.57,1.45,0.80,0.99,1.26,4.12,3.09,5.47,6.30,4.61,4.50,4.91,3.20,2.70,3.13,3.68,3.48,1.51,0.58,1.10,2.11,3.48,3.92,3.25,2.65,2.00,2.01,2.01,2.01
マレーシア,1.55,1.43,1.79,1.07,1.42,3.04,3.62,2.03,5.43,0.60,1.72,3.17,1.66,2.11,3.14,2.10,2.08,3.80,0.97,0.66,-1.14,2.48,3.38,2.89,3.06,2.56,2.40,2.43,2.43
モルディブ,-1.18,0.67,0.93,-2.80,6.34,2.46,3.50,6.80,12.04,4.53,6.15,11.27,10.89,4.00,2.45,1.37,0.80,2.27,1.37,1.33,-1.59,0.21,2.60,5.24,2.80,2.25,2.00,2.00,2.00
メキシコ,9.49,6.37,5.04,4.55,4.69,3.99,3.63,3.97,5.13,5.30,4.16,3.40,4.11,3.80,4.02,2.72,2.82,6.04,4.90,3.63,3.40,5.69,7.90,6.27,3.89,3.28,3.09,3.03,3.01
モロッコ,1.92,0.61,2.78,1.16,1.49,0.98,3.29,2.04,3.89,2.17,0.94,0.77,0.84,1.62,0.40,1.43,1.53,0.74,1.57,0.24,0.62,1.40,6.65,4.58,2.77,2.40,2.00,2.00,2.00
ミャンマー,4.25,-19.79,21.92,47.47,8.01,6.89,16.55,34.44,20.91,3.69,5.92,6.83,0.36,6.38,5.74,7.26,9.10,4.62,5.94,8.63,5.73,3.64,16.23,14.18,7.83,7.83,7.83,7.83,7.83
ナミビア,10.22,10.21,12.72,7.22,4.14,2.28,4.96,6.55,9.10,9.45,4.88,5.01,6.72,5.60,5.35,3.40,6.73,6.15,4.29,3.72,2.21,3.62,6.08,5.00,4.62,4.62,4.62,4.62,4.62
ネパール,3.39,2.44,2.90,4.74,3.96,4.54,7.96,6.20,6.68,12.62,9.57,9.57,8.31,9.87,9.04,7.21,9.93,4.45,4.15,4.64,6.15,3.60,6.26,7.77,6.34,5.65,5.45,5.40,5.40
