,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
南アフリカ,"3,382.07","2,964.03","2,791.18","4,209.22","5,415.09","6,033.21","6,276.17","6,776.47","6,355.88","6,552.27","8,130.19","8,799.48","8,207.06","7,458.04","6,984.93","6,256.67","5,750.79","6,678.29","6,972.70","6,609.04","5,661.01","6,965.19","6,694.36","6,485.07","6,647.62","6,780.32","6,889.23","6,987.20","7,060.27"
スペイン,"14,761.11","15,400.91","17,097.92","21,501.07","24,932.13","26,438.03","28,414.13","32,588.56","35,484.39","32,131.38","30,566.88","31,676.69","28,344.91","29,094.34","29,537.63","25,776.22","26,549.36","28,211.93","30,438.34","29,603.30","26,943.77","30,133.94","29,420.62","31,223.35","32,513.44","33,593.27","34,534.78","35,408.74","36,076.13"
スーダン,422.316,492.676,554.652,635.575,772.939,996.677,"1,249.77","1,599.60","1,700.51","1,401.24","1,637.42","2,034.46","1,396.29","1,462.58","1,628.50","1,679.03","1,638.64","1,199.18",796.298,776.549,775.885,763.507,"1,058.72",975.161,857.595,850.05,849.613,862.297,"1,007.11"
スウェーデン,"29,589.14","27,207.49","29,846.19","37,249.26","42,736.88","43,349.85","46,425.84","53,496.53","55,929.86","46,734.91","52,658.79","60,540.22","57,816.02","60,845.01","59,704.81","51,274.28","51,590.47","53,459.07","54,295.73","51,694.50","52,706.29","60,929.62","55,689.40","55,395.44","56,415.60","57,888.35","59,112.00","60,651.92","62,155.94"
スイス,"38,968.65","39,830.40","42,654.24","49,512.36","54,784.75","56,378.44","59,209.29","65,363.36","74,668.37","71,892.70","76,833.55","90,933.21","86,281.93","87,872.11","89,273.26","84,236.09","82,568.76","82,572.19","85,545.27","84,473.28","85,872.73","92,238.99","92,371.45","98,767.33","103,245.72","106,791.09","111,700.59","115,598.33","121,062.85"
台湾,"14,844.24","13,357.20","13,651.36","14,040.60","15,290.31","16,427.46","16,892.88","17,723.70","18,053.59","16,904.54","19,181.36","20,838.59","21,256.36","21,945.46","22,844.32","22,752.99","23,070.73","25,061.62","25,825.57","25,903.17","28,571.44","33,186.34","32,643.22","33,907.52","36,157.18","37,683.25","39,384.31","40,881.72","42,484.84"
タイ,"2,003.61","1,890.25","2,094.26","2,356.97","2,657.91","2,890.48","3,366.82","3,973.99","4,373.45","4,208.36","5,073.71","5,493.74","5,862.99","6,168.71","5,952.38","5,837.81","5,995.21","6,596.22","7,295.95","7,812.11","7,170.85","7,226.84","7,650.88","8,181.93","8,780.88","9,290.40","9,814.30","10,362.94","10,895.38"
トルコ,"4,237.96","3,082.90","3,617.23","4,684.70","6,015.67","7,350.89","7,961.08","9,640.57","10,778.13","8,941.40","10,533.45","11,221.40","11,637.92","12,488.97","12,079.29","10,973.59","10,891.19","10,628.90","9,508.00","9,132.95","8,612.31","9,654.09","10,618.29","11,931.50","12,460.84","12,996.79","13,574.19","14,136.45","14,678.93"
アラブ首長国連邦,"34,688.98","32,621.29","32,790.71","35,017.31","39,304.51","43,984.09","44,313.55","41,472.25","39,074.71","30,920.43","35,065.94","41,775.70","45,108.03","46,207.45","47,063.63","41,422.60","40,483.34","41,971.75","45,591.68","43,981.61","37,648.96","43,422.09","51,305.69","49,451.64","50,697.86","52,434.16","54,397.58","56,523.51","58,816.62"
英国,"28,347.70","27,897.13","30,129.42","34,516.91","40,434.58","42,170.81","44,613.88","50,457.55","47,918.32","38,969.68","39,736.21","42,147.69","42,489.95","43,492.46","47,476.19","45,085.34","41,275.86","40,666.83","43,377.76","42,797.26","40,347.36","46,421.61","45,294.81","46,371.45","49,320.63","52,000.53","54,978.16","58,008.94","61,129.79"
米国,"36,312.78","37,101.45","37,945.76","39,405.35","41,641.62","44,034.26","46,216.85","47,943.35","48,470.55","47,102.43","48,586.29","50,008.11","51,736.74","53,245.52","55,083.51","56,729.68","57,839.99","59,878.72","62,787.78","65,077.30","63,577.34","70,159.77","76,348.49","80,034.58","82,131.53","84,600.68","87,360.88","90,231.09","93,259.27"
ウルグアイ,"7,400.77","6,774.70","4,422.23","3,924.94","4,457.93","5,639.44","6,350.36","7,590.45","9,815.44","10,188.66","12,888.97","15,276.15","16,256.07","18,193.92","18,033.02","16,720.59","16,474.54","18,405.74","18,408.70","17,404.37","15,168.31","16,742.91","20,221.94","21,677.29","22,585.97","23,520.56","24,385.86","25,321.01","26,229.04"
ウズベキスタン,702.209,587.633,481.995,499.329,585.221,689.391,811.157,"1,048.72","1,324.54","1,523.42","1,777.49","2,067.52","2,284.53","2,440.26","2,651.38","2,761.29","2,712.81","1,932.76","1,618.97","1,812.74","1,776.27","2,013.97","2,279.99","2,563.00","2,817.49","3,102.49","3,446.64","3,820.63","4,240.47"
ベトナム,498.579,513.197,546.555,610.357,756.981,873.136,996.255,"1,152.27","1,446.56","1,481.44","1,628.01","1,949.83","2,197.62","2,369.97","2,566.85","2,581.91","2,720.17","2,957.90","3,216.25","3,439.10","3,548.89","3,753.43","4,086.52","4,475.51","4,924.77","5,396.15","5,888.93","6,403.56","6,961.65"
ジンバブエ,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,"1,131.68","1,310.44","1,421.70","1,415.28","1,425.47","1,444.72","1,481.24","2,523.25","1,746.51","1,769.57","2,321.63","2,087.67","1,851.70","1,618.47","1,666.28","1,663.35","1,533.78","1,566.85"
